Molecular name	Assembly	GENBANK	RefSeq sequence	Organism	Taxonomy
Plasmid pFW10101	GCA_000177215.2	CM001369.1	NZ_CM001369.1	Desulfovibrio sp. FW1012B (d-proteobacteria)	Bacteria; Proteobacteria; delta/epsilon subdivisions; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio
Plasmid pFW10102	GCA_000177215.3	CM001370.1	NZ_CM001370.1	Desulfovibrio sp. FW1012B (d-proteobacteria)	Bacteria; Proteobacteria; delta/epsilon subdivisions; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio
Chromosome	GCA_000179635.2	CP002403.1	NC_014833.1	Ruminococcus albus 7 = DSM 20455 (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; Ruminococcus albus
Plasmid pRUMAL01	GCA_000179635.2	CP002404.1	NC_014824.1	Ruminococcus albus 7 = DSM 20455 (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; Ruminococcus albus
Plasmid pRUMAL02	GCA_000179635.2	CP002405.1	NC_014825.1	Ruminococcus albus 7 = DSM 20455 (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; Ruminococcus albus
Plasmid pRUMAL03	GCA_000179635.2	CP002406.1	NC_014826.1	Ruminococcus albus 7 = DSM 20455 (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; Ruminococcus albus
Plasmid pRUMAL04	GCA_000179635.2	CP002407.1	NC_014827.1	Ruminococcus albus 7 = DSM 20455 (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; Ruminococcus albus
Chromosome	GCA_000209855.1	FP929046.1	FP929046.1	Faecalibacterium prausnitzii SL3/3 (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; Faecalibacterium prausnitzii
Chromosome	GCA_000210035.1 	FP929055.1	"	NC_021015.1"	[Ruminococcus] torques L2-14 (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; [Ruminococcus] torques
Chromosome	GCA_000210555.1	FP929038.1	NC_021009.1	Coprococcus catus GD/7 (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Coprococcus; Coprococcus catus
Chromosome	GCA_000210655.1	FP929050.1	NC_021012.1	Roseburia intestinalis XB6B4 (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia; Roseburia intestinalis
Chromosome	GCA_000255475.1	CM001477.1	NZ_CM001477.1	Clostridium perfringens F262 (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium perfringens
Plasmid pF262A	GCA_000255475.1	CM001478.1	NZ_CM001478.1	Clostridium perfringens F262 (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium perfringens
Plasmid pF262B	GCA_000255475.1	CM001479.1	NZ_CM001479.1	Clostridium perfringens F262 (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium perfringens
Plasmid pF262C	GCA_000255475.1	CM001480.1	NZ_CM001480.1	Clostridium perfringens F262 (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium perfringens
Plasmid pF262D	GCA_000255475.1	CM001481.1	NZ_CM001481.1	Clostridium perfringens F262 (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium perfringens
Chromosome	GCA_000265365.1 	CP003274.1	NC_018011.1	Alistipes finegoldii DSM 17242 (CFB group bacteria)	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; Alistipes finegoldii
Chromosome	GCA_000772485.1	CP006741.1	NZ_CP006741.1	Bifidobacterium longum subsp. longum GT15 (high GC Gram+)	Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium longum; Bifidobacterium longum subsp. Longum
Contig	GCA_002834165.1 	NPHY01000001.1	NA	Ruminococcus bromii (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus
Contig	GCA_000526735.1	NZ_JAGQ01000001.1	NA	[Ruminococcus] gnavus AGR2154 (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; [Ruminococcus] gnavus
Assembly	GCA_000210015.1	FP929054.1	NC_021022.1	Blautia obeum A2-162/Ruminococcus obeum A2-162	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; Blautia obeum; Blautia obeum A2-162
Chromosome	GCF_000210035.1	FP929055.1	NC_021015.1	Ruminococcus torques L2-14	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; [Ruminococcus] torques
Contig	GCA_900087015.1	NZ_FLKP01000001.1	NA	Christensenella timonensis (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella
